"","ItinID","MktID","SeqNum","Coupons","Year","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Quarter","Origin","OriginCountry","OriginStateFips","OriginState","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCountry","DestStateFips","DestState","DestStateName","DestWac","Break","CouponType","TkCarrier","OpCarrier","RPCarrier","Passengers","FareClass","Distance","DistanceGroup","Gateway","ItinGeoType","CouponGeoType"
"72",2001133,2001162,3,3,2001,11298,1129802,30194,1,"DFW","US","48","TX","Texas",74,10140,1014001,30140,"ABQ","US","35","NM","New Mexico",86,"X","A","AA","AA","AA",1,"X",569,2,0,2,2
"73",2001134,2001163,1,3,2001,10140,1014001,30140,1,"ABQ","US","35","NM","New Mexico",86,10721,1072101,30721,"BOS","US","25","MA","Massachusetts",13,"X","A","AA","AA","AA",1,"X",1974,4,0,2,2
"74",2001134,2001164,2,3,2001,10721,1072101,30721,1,"BOS","US","25","MA","Massachusetts",13,11298,1129802,30194,"DFW","US","48","TX","Texas",74,NA,"A","AA","AA","AA",1,"X",1562,4,0,2,2
"75",2001134,2001164,3,3,2001,11298,1129802,30194,1,"DFW","US","48","TX","Texas",74,10140,1014001,30140,"ABQ","US","35","NM","New Mexico",86,"X","A","AA","AA","AA",1,"X",569,2,0,2,2
"76",2001135,2001165,1,3,2001,10140,1014001,30140,1,"ABQ","US","35","NM","New Mexico",86,10721,1072101,30721,"BOS","US","25","MA","Massachusetts",13,"X","A","AA","AA","AA",2,"X",1974,4,0,2,2
"77",2001135,2001166,2,3,2001,10721,1072101,30721,1,"BOS","US","25","MA","Massachusetts",13,11298,1129802,30194,"DFW","US","48","TX","Texas",74,NA,"A","AA","AA","AA",2,"X",1562,4,0,2,2
"78",2001135,2001166,3,3,2001,11298,1129802,30194,1,"DFW","US","48","TX","Texas",74,10140,1014001,30140,"ABQ","US","35","NM","New Mexico",86,"X","A","AA","AA","AA",2,"X",569,2,0,2,2
"79",2001136,2001167,1,3,2001,10140,1014001,30140,1,"ABQ","US","35","NM","New Mexico",86,10721,1072101,30721,"BOS","US","25","MA","Massachusetts",13,"X","A","AA","AA","AA",1,"X",1974,4,0,2,2
"80",2001136,2001168,2,3,2001,10721,1072101,30721,1,"BOS","US","25","MA","Massachusetts",13,11298,1129802,30194,"DFW","US","48","TX","Texas",74,NA,"A","AA","AA","AA",1,"X",1562,4,0,2,2
"81",2001136,2001168,3,3,2001,11298,1129802,30194,1,"DFW","US","48","TX","Texas",74,10140,1014001,30140,"ABQ","US","35","NM","New Mexico",86,"X","A","AA","AA","AA",1,"X",569,2,0,2,2
"82",2001137,2001169,1,3,2001,10140,1014001,30140,1,"ABQ","US","35","NM","New Mexico",86,10721,1072101,30721,"BOS","US","25","MA","Massachusetts",13,"X","A","AA","AA","AA",1,"Y",1974,4,0,2,2
"83",2001137,2001170,2,3,2001,10721,1072101,30721,1,"BOS","US","25","MA","Massachusetts",13,11298,1129802,30194,"DFW","US","48","TX","Texas",74,NA,"A","AA","AA","AA",1,"X",1562,4,0,2,2
"84",2001137,2001170,3,3,2001,11298,1129802,30194,1,"DFW","US","48","TX","Texas",74,10140,1014001,30140,"ABQ","US","35","NM","New Mexico",86,"X","A","AA","AA","AA",1,"X",569,2,0,2,2
"85",2001138,2001171,1,3,2001,10140,1014001,30140,1,"ABQ","US","35","NM","New Mexico",86,10721,1072101,30721,"BOS","US","25","MA","Massachusetts",13,"X","A","AA","AA","AA",1,"X",1974,4,0,2,2
"86",2001138,2001172,2,3,2001,10721,1072101,30721,1,"BOS","US","25","MA","Massachusetts",13,11298,1129802,30194,"DFW","US","48","TX","Texas",74,NA,"A","AA","AA","AA",1,"X",1562,4,0,2,2
"87",2001138,2001172,3,3,2001,11298,1129802,30194,1,"DFW","US","48","TX","Texas",74,11109,1110901,30189,"COS","US","08","CO","Colorado",82,"X","A","AA","AA","AA",1,"X",592,2,0,2,2
"88",2001141,2001176,1,4,2001,10140,1014001,30140,1,"ABQ","US","35","NM","New Mexico",86,10721,1072101,30721,"BOS","US","25","MA","Massachusetts",13,NA,"A","AA","AA","AA",1,"X",1974,4,0,2,2
"89",2001141,2001176,2,4,2001,10721,1072101,30721,1,"BOS","US","25","MA","Massachusetts",13,12391,1239101,31703,"ISP","US","36","NY","New York",22,"X","A","AA","MQ","AA",1,"X",153,1,0,2,2
"90",2001141,2001177,3,4,2001,12391,1239101,31703,1,"ISP","US","36","NY","New York",22,10721,1072101,30721,"BOS","US","25","MA","Massachusetts",13,NA,"A","AA","MQ","AA",1,"X",153,1,0,2,2
"91",2001141,2001177,4,4,2001,10721,1072101,30721,1,"BOS","US","25","MA","Massachusetts",13,10140,1014001,30140,"ABQ","US","35","NM","New Mexico",86,"X","A","AA","AA","AA",1,"X",1974,4,0,2,2
"92",2001142,2001178,1,4,2001,10140,1014001,30140,1,"ABQ","US","35","NM","New Mexico",86,10721,1072101,30721,"BOS","US","25","MA","Massachusetts",13,NA,"A","AA","AA","AA",1,"X",1974,4,0,2,2
"93",2001142,2001178,2,4,2001,10721,1072101,30721,1,"BOS","US","25","MA","Massachusetts",13,12953,1295301,31703,"LGA","US","36","NY","New York",22,NA,"A","US","US","AA",1,"X",185,1,0,2,2
"94",2001142,2001178,3,4,2001,12953,1295301,31703,1,"LGA","US","36","NY","New York",22,12264,1226401,30852,"IAD","US","51","VA","Virginia",38,NA,"A","US","US","AA",1,"X",229,1,0,2,2
"95",2001142,2001178,4,4,2001,12264,1226401,30852,1,"IAD","US","51","VA","Virginia",38,13204,1320401,31454,"MCO","US","12","FL","Florida",33,"X","A","US","US","AA",1,"X",758,2,0,2,2
"96",2001147,2001187,1,3,2001,10140,1014001,30140,1,"ABQ","US","35","NM","New Mexico",86,10721,1072101,30721,"BOS","US","25","MA","Massachusetts",13,"X","A","AA","AA","AA",1,"X",1974,4,0,2,2
"97",2001147,2001188,2,3,2001,10721,1072101,30721,1,"BOS","US","25","MA","Massachusetts",13,13930,1393001,30977,"ORD","US","17","IL","Illinois",41,NA,"A","AA","AA","AA",1,"X",867,2,0,2,2
"98",2001147,2001188,3,3,2001,13930,1393001,30977,1,"ORD","US","17","IL","Illinois",41,10140,1014001,30140,"ABQ","US","35","NM","New Mexico",86,"X","A","AA","AA","AA",1,"X",1118,3,0,2,2
"99",2001148,2001189,1,3,2001,10140,1014001,30140,1,"ABQ","US","35","NM","New Mexico",86,10721,1072101,30721,"BOS","US","25","MA","Massachusetts",13,"X","A","AA","AA","AA",1,"X",1974,4,0,2,2
"100",2001148,2001190,2,3,2001,10721,1072101,30721,1,"BOS","US","25","MA","Massachusetts",13,13930,1393001,30977,"ORD","US","17","IL","Illinois",41,NA,"A","AA","AA","AA",1,"X",867,2,0,2,2
"101",2001148,2001190,3,3,2001,13930,1393001,30977,1,"ORD","US","17","IL","Illinois",41,10140,1014001,30140,"ABQ","US","35","NM","New Mexico",86,"X","A","AA","AA","AA",1,"X",1118,3,0,2,2
"102",2001149,2001191,1,5,2001,10140,1014001,30140,1,"ABQ","US","35","NM","New Mexico",86,10721,1072101,30721,"BOS","US","25","MA","Massachusetts",13,NA,"A","AA","AA","AA",1,"X",1974,4,0,2,2
"103",2001149,2001191,2,5,2001,10721,1072101,30721,1,"BOS","US","25","MA","Massachusetts",13,14100,1410001,34100,"PHL","US","42","PA","Pennsylvania",23,"X","A","AA","MQ","AA",1,"Y",280,1,0,2,2
"104",2001149,2001192,3,5,2001,14100,1410001,34100,1,"PHL","US","42","PA","Pennsylvania",23,10721,1072101,30721,"BOS","US","25","MA","Massachusetts",13,NA,"A","AA","MQ","AA",1,"Y",280,1,0,2,2
"105",2001149,2001192,4,5,2001,10721,1072101,30721,1,"BOS","US","25","MA","Massachusetts",13,11298,1129802,30194,"DFW","US","48","TX","Texas",74,NA,"A","AA","AA","AA",1,"X",1562,4,0,2,2
"106",2001149,2001192,5,5,2001,11298,1129802,30194,1,"DFW","US","48","TX","Texas",74,10140,1014001,30140,"ABQ","US","35","NM","New Mexico",86,"X","A","AA","AA","AA",1,"X",569,2,0,2,2
"107",2001152,2001197,1,3,2001,10140,1014001,30140,1,"ABQ","US","35","NM","New Mexico",86,10821,1082102,30852,"BWI","US","24","MD","Maryland",35,"X","A","AA","AA","AA",1,"X",1670,4,0,2,2
"108",2001152,2001198,2,3,2001,10821,1082102,30852,1,"BWI","US","24","MD","Maryland",35,12191,1219101,31453,"HOU","US","48","TX","Texas",74,NA,"A","CO","CO","AA",1,"X",1246,3,0,2,2
"109",2001152,2001198,3,3,2001,12191,1219101,31453,1,"HOU","US","48","TX","Texas",74,10140,1014001,30140,"ABQ","US","35","NM","New Mexico",86,"X","A","CO","CO","AA",1,"X",759,2,0,2,2
"110",2001153,2001199,1,3,2001,10140,1014001,30140,1,"ABQ","US","35","NM","New Mexico",86,11066,1106601,31066,"CMH","US","39","OH","Ohio",44,"X","A","AA","AA","AA",1,"X",1343,3,0,2,2
"111",2001153,20011100,2,3,2001,11066,1106601,31066,1,"CMH","US","39","OH","Ohio",44,13930,1393001,30977,"ORD","US","17","IL","Illinois",41,NA,"A","AA","MQ","AA",1,"X",296,1,0,2,2
"112",2001153,20011100,3,3,2001,13930,1393001,30977,1,"ORD","US","17","IL","Illinois",41,10140,1014001,30140,"ABQ","US","35","NM","New Mexico",86,"X","A","AA","AA","AA",1,"X",1118,3,0,2,2
"113",2001154,20011101,1,4,2001,10140,1014001,30140,1,"ABQ","US","35","NM","New Mexico",86,11193,1119301,33105,"CVG","US","21","KY","Kentucky",52,NA,"A","AA","AA","AA",1,"X",1240,3,0,2,2
"114",2001154,20011101,2,4,2001,11193,1119301,33105,1,"CVG","US","21","KY","Kentucky",52,11995,1199501,31995,"GSO","US","37","NC","North Carolina",36,"X","A","AA","AA","AA",1,"X",330,1,0,2,2
"115",2001154,20011102,3,4,2001,11995,1199501,31995,1,"GSO","US","37","NC","North Carolina",36,10397,1039702,30397,"ATL","US","13","GA","Georgia",34,NA,"A","DL","DL","AA",1,"X",306,1,0,2,2
"116",2001154,20011102,4,4,2001,10397,1039702,30397,1,"ATL","US","13","GA","Georgia",34,10140,1014001,30140,"ABQ","US","35","NM","New Mexico",86,"X","A","DL","DL","AA",1,"X",1269,3,0,2,2
"117",2001155,20011103,1,2,2001,10140,1014001,30140,1,"ABQ","US","35","NM","New Mexico",86,11193,1119301,33105,"CVG","US","21","KY","Kentucky",52,NA,"A","AA","AA","AA",1,"X",1240,3,0,2,2
