"","PASSENGERS","FREIGHT","MAIL","DISTANCE","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","UNIQUE_CARRIER_ENTITY","REGION","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_FIPS","ORIGIN_STATE_NM","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_FIPS","DEST_STATE_NM","DEST_WAC","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS"
"71",2651,448,14882,1587,"DL",19790,"Delta Air Lines Inc.","01260","D","DL","Delta Air Lines Inc.",3,3,12478,1247802,31703,"JFK","New York, NY","NY","36","New York",22,14683,1468302,33214,"SAT","San Antonio, TX","TX","48","Texas",74,2011,3,9,4,"F"
"72",10929,2033,0,1726,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,13930,1393001,30977,"ORD","Chicago, IL","IL","17","Illinois",41,14908,1490802,32575,"SNA","Santa Ana, CA","CA","06","California",91,2011,2,5,4,"F"
"73",2,3,0,34,"H6",20336,"Hageland Aviation Service","06984","D","H6","Hageland Aviation Service",1,5,15794,1579402,35794,"WMO","White Mountain, AK","AK","02","Alaska",1,11535,1153502,31535,"ELI","Elim, AK","AK","02","Alaska",1,2011,3,7,1,"F"
"74",5,0,0,31,"3F",21111,"Pacific Airways, Inc.","01129","D","3F","Pacific Airways, Inc.",1,5,12857,1285701,32857,"KXA","Kasaan, AK","AK","02","Alaska",1,15741,1574101,31401,"WFB","Ketchikan, AK","AK","02","Alaska",1,2011,2,6,1,"F"
"75",130,0,0,1196,"G4",20368,"Allegiant Air","06035","D","G4","Allegiant Air",2,2,10135,1013502,30135,"ABE","Allentown/Bethlehem/Easton, PA","PA","42","Pennsylvania",23,12278,1227802,30928,"ICT","Wichita, KS","KS","20","Kansas",62,2011,3,7,3,"L"
"76",10,0,0,17,"WST",20289,"Friday Harbor Seaplanes","06901","D","WST","West Isle Air",1,6,11762,1176202,31646,"FRD","Friday Harbor, WA","WA","53","Washington",93,13968,1396802,33968,"OTS","Anacortes, WA","WA","53","Washington",93,2011,4,11,1,"F"
"77",6,4,0,2067,"DL",19790,"Delta Air Lines Inc.","01260","D","DL","Delta Air Lines Inc.",3,3,10721,1072101,30721,"BOS","Boston, MA","MA","25","Massachusetts",13,11540,1154001,30615,"ELP","El Paso, TX","TX","48","Texas",74,2011,1,2,5,"F"
"78",51,5505,0,404,"CO",19704,"Continental Air Lines Inc.","01220","D","CO","Continental Air Lines Inc.",3,3,13341,1334101,33198,"MKC","Kansas City, MO","MO","29","Missouri",64,13232,1323201,30977,"MDW","Chicago, IL","IL","17","Illinois",41,2011,2,5,1,"L"
"79",1052,0,0,179,"XJ",20170,"Mesaba Airlines","06692","D","XJ","Mesaba Airlines",2,2,12397,1239702,32397,"ITH","Ithaca/Cortland, NY","NY","36","New York",22,12953,1295302,31703,"LGA","New York, NY","NY","36","New York",22,2011,3,9,1,"F"
"80",9,0,0,187,"8V",20333,"Wright Air Service","06965","D","8V","Wright Air Service",1,5,11630,1163002,31517,"FAI","Fairbanks, AK","AK","02","Alaska",1,15504,1550402,35504,"UTO","Utopia, AK","AK","02","Alaska",1,2011,4,12,1,"L"
"81",362,109,0,1450,"WN",19393,"Southwest Airlines Co.","06725","D","WN","Southwest Airlines Co.",3,3,11259,1125902,30194,"DAL","Dallas, TX","TX","48","Texas",74,14831,1483102,32457,"SJC","San Jose, CA","CA","06","California",91,2011,1,3,3,"F"
"82",100,0,0,806,"G4",20368,"Allegiant Air","06035","D","G4","Allegiant Air",2,2,13230,1323001,32070,"MDT","Harrisburg, PA","PA","42","Pennsylvania",23,13244,1324401,33244,"MEM","Memphis, TN","TN","47","Tennessee",54,2011,1,1,2,"L"
"83",139,0,0,160,"CO",19704,"Continental Air Lines Inc.","01220","D","CO","Continental Air Lines Inc.",3,3,11618,1161801,31703,"EWR","Newark, NJ","NJ","34","New Jersey",21,14307,1430701,30721,"PVD","Providence, RI","RI","44","Rhode Island",15,2011,1,1,1,"L"
"84",49,0,0,306,"OO",20304,"SkyWest Airlines Inc.","06700","D","OO","SkyWest Airlines Inc.",3,3,14730,1473003,33044,"SDF","Louisville, KY","KY","21","Kentucky",52,11433,1143302,31295,"DTW","Detroit, MI","MI","26","Michigan",43,2011,4,12,1,"F"
"85",159,0,0,1638,"F9",20436,"Frontier Airlines Inc.","06460","D","F9","Frontier Airlines Inc.",3,3,12953,1295302,31703,"LGA","New York, NY","NY","36","New York",22,11109,1110902,30189,"COS","Colorado Springs, CO","CO","08","Colorado",82,2011,3,8,4,"F"
"86",240,0,0,1650,"AA",19805,"American Airlines Inc.","0A050","D","AA","American Airlines Inc.",3,3,10140,1014002,30140,"ABQ","Albuquerque, NM","NM","35","New Mexico",86,11278,1127802,30852,"DCA","Washington, DC","VA","51","Virginia",38,2011,3,8,4,"F"
"87",4558,483,0,228,"OW",20414,"Executive Airlines","06196","D","OW","Executive Airlines",2,2,11298,1129802,30194,"DFW","Dallas/Fort Worth, TX","TX","48","Texas",74,14842,1484201,34842,"SJT","San Angelo, TX","TX","48","Texas",74,2011,2,5,1,"F"
"88",99,0,0,1609,"US",20355,"US Airways Inc.","02040","D","US","US Airways Inc.",3,3,12266,1226603,31453,"IAH","Houston, TX","TX","48","Texas",74,14893,1489302,33192,"SMF","Sacramento, CA","CA","06","California",91,2011,3,9,4,"F"
